date,username,post
2023-03-26 03:27:28+00:00,TechnoTrain,"1. Arizona has received a lot of moisture, but that's not really where Lake Mead gets its water from. Keep in mind most of Arizona is south of Lake Mead, so most of the water in Arizona flows downhill to the Pacific without touching Mead. 

2. The majority of the Colorado River basin has remained relatively dry; at least dry enough that Mead isn't acting like Roosevelt or other lakes in the state.

3. The reservoirs on the Colorado River system are quite vast. Other reservoirs may see significant fills while Mead, being low in that chain, may see hardly any gain. 

4. Although low, Mead is actually not the last stop on the Colorado River. Hydrologists have to make a choice to keep Lake Havasu and other reservoirs at certain levels as well. The reasons behind what gets raised and what gets lowered are complex with many stakeholders.

I've seen this question come up before so thought I'd try my best to outline just a few of the reasons Mead isn't acting like other reservoirs in the state."
2023-03-26 03:26:44+00:00,Desert_Beach,"1. Ott.
2. Stay away from Tucson at all costs.
3. Yes.
4. You will to survive will be tested before the end of August.
5. See answer to #2."
2023-03-26 03:21:54+00:00,DangerousBill,"I thought everyone knew about the pants. I don't believe the superglue thing, though. The pants would have disappeared anyway, glue or no. I call fake on that one."
2023-03-26 03:04:06+00:00,Significant-Foot1908,Beautiful. I saw one on the 101 ramp one time and I’ll never forget it. Thanks for sharing.
2023-03-26 03:02:56+00:00,blznburro,"1: Both. Anyone not from Prescott says Pres-cott and people from there say the other.
2: Because they’re backwards down there. (Real answer from u/GandalfTheSilverFox
3: Plenty of good ones with A ratings. My favorite has a B rating. Who knows. 
4: I can fly from Phoenix to Georgia in June and I am much hotter in Georgia.
5: Yes. Also it smells like pee. The whole place."
2023-03-26 03:00:49+00:00,Tasty_Mango,People just being silly.
2023-03-26 02:52:58+00:00,whiterabbit818,“Trying to keep the species alive over here!”
2023-03-26 02:50:33+00:00,Lord_sun,
2023-03-26 02:43:51+00:00,Medical-Working6822,We say Pres-kit but people that come visit say Prescott
2023-03-26 02:43:44+00:00,TimeFlew,"Hey man, there’s a lot of competition out there, he has to bring his A-game."
2023-03-26 02:42:35+00:00,DingoTerror,"He gets on top of the highest branch to do it, too. You know, just in case any of the ladies couldn't see."
2023-03-26 02:40:27+00:00,wallerhilliard,
