date,username,post
2023-03-26 03:35:37+00:00,ChickenMindReader,"Second the Lacrosse. I’ve worn the absolute shit out of these boots and they keep giving. Yes the are spendy. But I’ve gotten every dollar back plus some. Even fell in a river and had to run 2 miles out in them full of water. They kept me warm, and I survived. Cannot speak highly enough."
2023-03-26 03:33:17+00:00,Comfortable-Taro-912,"Get some NEOs. Overboots you can wear with any kind of shoe or boot underneath. Warm and incredibly light. They also have removable studs you can adjust or take off if you don’t need them, plus a built in gaiter for deep snow. I would wear these with a pair of crocs and be completely fine. The velcro doesn’t hold up long but I brought it to a upholstery place and had them add a second buckle. Last and most important is they take seconds to put on and take off. Good luck!"
2023-03-26 03:29:01+00:00,LGOPs82ndAbn,Bunny boots.
2023-03-26 03:20:55+00:00,[deleted],[removed]
2023-03-26 03:08:43+00:00,DepartmentNatural,How about the zoo?
2023-03-26 03:05:27+00:00,Blue05D,Insulated gortex Danners do me well. Pair with some genuine wool/blend socks and you're good. Have a similar pair of Timberlands that are less Insulated when I'm not spending hours outside. Socks matter just as much as the boot.
2023-03-26 03:02:31+00:00,detour1234,I don’t like anything unexpected when I’m shitting.
2023-03-26 02:57:22+00:00,Indecisivenoone,Like in the Alaska Zoo in Anchorage?
2023-03-26 02:53:51+00:00,Itsover9000-,I really like the animals and was wondering where the cheapest place is to see them. Anyone know of monkeys in alaska ?
2023-03-26 02:49:37+00:00,JonnyDoeDoe,The Baffin Snow Monster is excellent if you're going to be out all day in the interior... But I use my Baffin Crossfire boots as my go-to cold weather boot...
2023-03-26 02:48:46+00:00,pingapump,"I’m an Xtra tuff man, but that’s because when I first moved to Alaska I lived in the Southeast."
2023-03-26 02:43:46+00:00,Itsallmeeee911, I live in Alaska and have many times on road trips. Lol
2023-03-26 02:42:04+00:00,willthesane,"Love my boffins for when I'm outside but not exercising. They are too heavy usually, but when you want to feel no cold at 60 below they are amazing"
2023-03-26 02:40:21+00:00,mjcorl44,Try AIS observer
